pass2_index,input_url,normalized_input_url,shuffle_sha256,pass1_occurrence_count,source_pass1_indices,source_sheet_rows,source_company_names,pass1_dataset,pass1_state,pass1_page_id,pass1_total_count,pass1_results_count,pass1_is_result_complete,pass1_error,pass1_captcha_required,pass1_system_status
550,https://www.facebook.com/thisisveda,https://www.facebook.com/thisisveda,88d4c6b50f3b7a27e7c47fdfd866626e03e22e2aecafda8ae3bdcec6dd0e1801,1,717,751,VEDA NYC,partial-803,zero,34663962876,0,0,true,,false,NO_KNOWN_ISSUES
551,https://www.facebook.com/betreelyfe,https://www.facebook.com/betreelyfe,88f6aba9f7e452496fabbe8f58d2149932ddcd01f59ec5f92625d177373fa7b7,1,624,657,Tree Lyfe,partial-803,zero,394780034049011,0,0,true,,false,NO_KNOWN_ISSUES
552,https://www.facebook.com/pages/Yellowberry/557685267602446,https://www.facebook.com/pages/yellowberry/557685267602446,893f672a73b55cae19d215bb7361428e972fa53a4f215b0a36bb71c730812351,1,283,315,Yellowberry,partial-803,zero,557685267602446,0,0,true,,false,NO_KNOWN_ISSUES
553,https://www.facebook.com/Airblaster.O.F.P,https://www.facebook.com/airblaster.o.f.p,8964e7dda23e575229cae06de08ead8ea41890eae4e96a4ed178c13b04d6d3ae,1,1000,1034,Airblaster,continuation-209,error,,,,,no_items,,
554,https://www.facebook.com/elliparrjewelry,https://www.facebook.com/elliparrjewelry,89ab6eb219c823e29405d73b5df655a6c2d89bd5a7550f6d455d370796d8cf97,1,532,565,Elli Parr Jewelry,continuation-209,positive,1699469587000445,2,2,true,,false,NO_KNOWN_ISSUES
555,https://www.facebook.com/lemonandline,https://www.facebook.com/lemonandline,89cf4a7fa65ff9ce827192f646c7fc79bdfd2cbe62c35557f4db8cc04bc3cdfd,1,874,908,Lemon & Line,partial-803,positive,226595687394200,29,29,true,,false,NO_KNOWN_ISSUES
556,https://www.facebook.com/KristaKBoutique,https://www.facebook.com/kristakboutique,89d13a12be24e8f20726d467555543b6b87278d67c5147ad60a48ac619b741e6,1,881,915,Krista K Boutique,partial-803,positive,134985917251,3,3,true,,false,NO_KNOWN_ISSUES
557,https://www.facebook.com/in2designjewelry,https://www.facebook.com/in2designjewelry,8a14d97b56eae4d164e08e9f15fdd79dbbd24ebee1df9116a602eba594607819,1,898,932,in2 design,partial-803,zero,111646765529044,0,0,true,,false,NO_KNOWN_ISSUES
558,https://www.facebook.com/letsgoiksplor,https://www.facebook.com/letsgoiksplor,8a8092ed2c8dff69ba45fef1b14400d78af558e984c38260f7945eede31cb888,1,404,436,Iksplor,partial-803,positive,162322511078756,28,28,true,,false,NO_KNOWN_ISSUES
559,https://www.facebook.com/GRIPANDCO,https://www.facebook.com/gripandco,8a8ef2cee37d503fa74753470476c34098e46650605b995de2d5109afb3dbf7c,1,483,516,GRIP & CO.,continuation-209,error,,,,,no_items,,
560,https://www.facebook.com/gamersoutreach,https://www.facebook.com/gamersoutreach,8ab7363c919efe978e33da89c588d822599c2afae8081c6091fc20261c733425,1,498,531,Gamers Outreach,partial-803,zero,168876631116,0,0,true,,false,NO_KNOWN_ISSUES
561,https://www.facebook.com/recoverbrands,https://www.facebook.com/recoverbrands,8ad56537e6808626f1d099aee8904b476f3af9911ca6126340ffa255dfd8b205,1,218,221,Recover Brands,partial-803,positive,115565378472952,11,11,true,,false,NO_KNOWN_ISSUES
562,https://www.facebook.com/thecitycollections,https://www.facebook.com/thecitycollections,8afc4678dc97de1350fa2d6ae6155b3df1ad3f86dfaa1e00046dcfbf642cb426,1,105,106,CITY Boots,partial-803,positive,564521313684801,38,30,false,,false,NO_KNOWN_ISSUES
563,https://www.facebook.com/pages/TailorByrd/104284812964051,https://www.facebook.com/pages/tailorbyrd/104284812964051,8b0f78b91863540bd1c25efbd546abb861e74a324086787dfc6ca46dac4a4d11,1,785,819,TAILORBYRD,partial-803,zero,104284812964051,0,0,true,,false,NO_KNOWN_ISSUES
564,https://www.facebook.com/sapahn,https://www.facebook.com/sapahn,8b32f12a47050574ade1ead873c0398b51deb8bf0e040252ca44cb3208668b79,1,197,200,Sapahn,partial-803,positive,109406229122864,44,30,false,,false,NO_KNOWN_ISSUES
565,https://www.facebook.com/inclusivejewelry,https://www.facebook.com/inclusivejewelry,8b62d2ac7bab2953920aa6b29b57ef4b6d194236063ad200e2ebea70dd5e8b90,1,453,485,Inclusive Jewelry,partial-803,zero,428218737978093,0,0,true,,false,NO_KNOWN_ISSUES
